pfam,prozant
PF12681,-0.0006039388387348054
PF07686,0.0010791719807711174
PF00155,-0.0003967805847057955
PF01554,-0.0005151334544473865
PF03328,0.0007551419362726476
PF00072,-0.00018888179104072046
PF03992,-0.0005887133622272353
PF00248,-0.0004948871284122608
PF02686,-0.00037579371903460434
PF02322,0.0008324245422328235
PF00318,-0.0003245188282731756
PF01402,-0.00011810111388023132
PF02050,0.0008706955753948789
PF07859,-0.00012386250304385253
PF01926,-0.0002985111130744285
PF02678,-9.209339868148411e-05
PF00551,6.45305042221621e-05
PF01066,-0.0006420469439719586
PF12704,-0.0002977705734383629
PF00009,-0.0005539820993206052
PF05987,0.0002716887582511718
PF01522,0.0007162932913994288
PF02687,0.0005914384928581511
PF00359,-0.0003468238452915955
PF02424,-0.00035258523445521695
PF02781,-0.00021472657831456566
PF00486,-0.00013966559126258596
PF13609,-0.0003446022263833993
PF13900,0.00046230338442538276
PF00450,-0.0006008137522656417
PF08279,0.0006376925340920239
PF13360,-0.0014950436680897117
PF00115,-0.00021900688820605623
PF03477,0.0004818091708244431
PF02614,-0.00030633119322134405
PF02310,-0.0002557968420959807
PF08708,-0.0011002329464307528
PF13746,-0.00019950110180699593
PF02653,-8.040769242933946e-05
PF00970,-0.0001677319974446274
PF00271,-0.00025505630245991533
PF02601,-0.00013596289308225886
PF12399,0.0005395859903855587
PF02867,-0.00026731962042322345
PF00324,-0.0002232871980975468
PF00441,-0.0001669914578085619
PF03372,-0.00024205244486054172
PF00158,0.000364937380354983
PF00563,0.0001585196659620387
PF08811,-0.00025431576282384984
PF01370,-2.913280166791062e-05
PF02798,-0.00023555051606085492
PF00795,0.00035267406239167476
PF01571,-0.00017275284697218334
PF00665,-0.00024131190522447634
PF13188,-0.00018501616493549146
PF10118,-0.00026007715198747127
PF13347,-0.000985419846944587
PF01138,-0.00023480997642478954
PF01568,-8.468800232083002e-05
PF00702,-2.1890333232158442e-05
PF00085,-1.5388404432471693e-05
PF00534,0.0003476532128641188
PF01757,-0.00030913042384070387
PF13454,-0.00017127176770005253
PF00152,0.00020403316755984613
PF00175,-0.00026509800151502716
PF12850,-0.00011497602741106775
PF01594,-0.0002275675079890373
PF02782,-0.00017127176770005253
PF04851,0.00034189182370049744
PF03631,7.917836901856842e-05
PF05960,-0.0002961265662413303
PF00378,-0.00023983082595234543
PF07195,-0.0004274832935822948
PF07703,-0.00021456365038966376
PF09084,-0.0001770331568636739
PF03713,-0.00015826791010067898
PF12697,-0.00033941844893094154
PF03507,0.0003924261748258609
PF00015,-7.670499424901241e-05
PF01266,-0.00013300073453799725
PF13520,-3.267257192333581e-05
PF03009,-0.00018279454602729528
PF00999,-0.00014526405250130542
PF00149,-0.0002513536042795882
PF02353,-0.0001950578639906034
PF01812,-0.0002701188510425831
PF00202,-0.00013876212370161862
PF03079,-0.00010123163017562871
PF00482,-0.0001950578639906034
PF13437,-2.617064312364901e-05
PF00892,-0.00011349494813893689
PF02738,0.00020551424683197696
PF01553,-0.00011349494813893689
PF00285,-0.00020732118195391158
PF05681,-0.00013226019490193182
PF00691,-0.00012575826610224507
PF01810,-0.00016328875962823497
PF01555,-0.00010699301933925014
PF01977,-8.822777257625522e-05
PF00580,-0.0001380215840655532
PF00266,-0.0001380215840655532
PF00764,-0.0001380215840655532
PF00004,9.366330589007275e-05
PF13193,-1.629279249019044e-07
PF00270,-3.769342145089181e-05
PF00213,-9.398916173987659e-05
PF00578,0.00024378527999403222
PF03928,-5.645866821388674e-05
PF01103,-0.0001625482199921695
PF07068,-0.0002000787135181594
PF13361,-8.748723294018979e-05
PF00990,-4.9956739414199933e-05
PF13417,5.037142320046153e-05
PF00929,8.790191672645138e-05
PF13730,-0.0006439427070303509
PF00012,-0.00011851579766649289
PF00342,-0.00014954436239279594
PF04542,-7.448337534081623e-05
