uproc,diamond
175013,154010
95386,109756
78458,48914
104861,90699
116904,93904
126918,97809
125953,102384
128974,112229
133042,92496
146001,130241
182785,141051
143511,138410
147765,134171
76745,28691
77026,68178
169951,145323
94023,82082
176495,149216
125309,120234
162193,139975
163719,171493
77652,77230
110250,75883
165892,154567
68751,31250
150977,134194
125561,179287
150770,124985
126509,115664
143433,105725
116950,102263
166700,130800
137360,97087
212607,195984
96108,76437
132859,110791
172439,165891
152339,131411
173626,144821
260556,296282
140919,164680
233250,227125
145512,137598
74496,60210
148950,173309
60155,49625
115984,122482
152703,127826
84195,82710
66027,12141
167626,145529
123009,90176
122082,88807
108001,96740
171480,263915
113507,93076
140313,122975
179927,171044
127540,105324
156363,134307
129295,100757
170590,214532
69443,34321
129445,83195
42954,5828
128761,101674
94249,85573
120502,85384
127123,123787
118575,105144
88499,82112
81403,86549
137241,105553
138903,121214
123187,117106
136565,122513
109412,76414
30082,9320
96817,87011
133851,119970
137482,115503
113970,109799
92942,74608
162449,140338
156678,120343
149029,121326
111990,89405
130986,73736
113409,73387
213132,179841
181828,155077
145293,132349
142747,142011
93714,94342
108023,105615
113030,92094
121803,121533
139233,108538
82963,79481
71929,56897
99375,89245
72376,47285
149939,145003
121123,88268
144229,131243
116161,105455
98195,87168
86378,59860
167174,158634
125225,109321
117122,122146
146613,126489
106565,84860
143569,135654
121024,104132
109411,84049
70586,45518
98450,84202
136728,102326
136407,114406
91057,80123
159969,134163
136797,111113
107796,164189
92764,71989
125827,86419
74068,68723
101432,146630
121470,100635
87367,87479
130924,60939
84186,61013
83359,89236
130739,109976
78484,69719
72982,74434
172783,144304
120238,122446
120207,103901
197929,225184
149830,118056
124428,99065
122376,83414
134307,109583
100268,85386
115651,101742
89546,97821
159593,122835
136541,131459
116628,93682
143531,148919
127652,117338
36783,31497
134456,107467
94377,115729
134389,105361
94744,123847
20041,8611
170221,163830
157110,147070
43656,16378
116455,107773
133401,116129
59631,19263
111652,88766
158849,144309
37668,41578
39788,16064
72930,61817
121613,94747
67665,62189
55366,28531
121110,113000
26881,22327
86698,93882
140844,94080
115122,106628
144186,120996
112398,101967
71561,14393
110301,75650
121388,73096
134855,117831
131472,88930
123268,132974
188915,168855
75949,70288
142588,126837
91275,100012
187082,195289
107251,98671
96367,71834
142558,124524
49264,42499
190267,321689
102027,79583
172152,185290
138213,138661
146018,136883
87102,57911
97227,68999
90241,77899
107431,118598
164027,151092
89429,70197
61657,82821
139071,126592
98832,85560
80943,92905
118748,135386
120667,111246
37111,25139
216480,135727
69652,65645
19639,2990
148626,135098
70596,61536
68645,78284
156286,138899
85681,78541
104380,78472
125236,114603
110311,105619
109522,97679
74672,68135
94929,77605
108996,84485
105026,93992
116008,103797
89689,193659
94962,85913
149860,104083
113037,102817
76652,86245
152930,138838
28637,3450
98074,85295
58683,58323
107838,47741
115979,98716
47502,54671
69777,63774
116641,117592
71042,50707
115193,101001
83856,78434
131411,116783
73528,60840
125972,115731
91251,99379
138460,140605
91349,70313
83241,97591
87597,96812
134712,127829
94021,67132
62688,46617
102852,68044
93486,78634
177333,241022
101202,66007
141449,166249
58437,62668
105997,107849
140189,139681
49048,41531
93463,81353
82451,175600
105241,90144
97463,137130
59466,57086
58003,49619
110778,72237
100135,79928
133809,95453
83382,16911
57559,55604
78553,42419
79396,75757
125858,112322
70342,79524
117625,113110
144236,124331
27564,26664
71236,56783
66010,47127
50806,50187
96086,85931
89042,67970
69959,48004
85874,63709
57645,52834
105536,95198
66784,53597
74367,66838
68464,85948
142745,140952
136741,117780
118252,89766
46536,42232
80736,79531
55272,37497
123132,110769
76238,72192
74956,75875
116684,103931
108033,85794
114741,130263
86432,72169
90589,82036
35128,31020
88632,70534
127965,123710
55644,53005
151321,136081
87403,88899
57690,48930
68955,45672
86049,51773
66043,59598
92111,57097
62838,54764
96407,96788
164625,155148
135431,135032
86696,89647
87672,72077
90847,59475
43078,38777
71776,54241
72332,81437
89376,85327
101593,97737
113287,111900
102844,94342
59439,58891
83570,72483
98476,103295
141295,159174
71092,71875
73343,70865
67532,62611
130369,126459
49151,17520
108994,89524
67114,58162
121420,100679
77748,39830
55823,46661
90413,72136
65998,53091
51418,48714
72413,57708
59741,51146
65104,54241
74185,69890
33719,26297
66655,39596
111440,93553
63712,60773
90381,76986
77133,72842
40351,16511
93752,50874
89666,70772
51898,47561
88321,59619
70884,56608
70020,55117
97433,78858
