vent,Transposase DDE domain(PF01609),Transposase(PF01527),Transposase Mutator family(PF00872),Transposase IS200 like(PF01797),Transposase(PF01610),Transposase(PF01548),Transposase IS116/IS110/IS902 f...(PF02371),Putative transposase(PF04986),Tn3 transposase DDE domain(PF01526),IS1 transposase(PF03400),Bacteriophage Mu transposase(PF02914)
axial_seamount,0.26631572959670824,0.0505609968041952,0.1592807790469196,0.15055174627590018,0.07257613092522211,0.03635224952710385,0.030615798763060757,0.02616302928887346,0.005471691498010334,0.008111261150276317,3.209203224639492e-05
axial_seamount,0.2538956247124486,0.056610220629665566,0.2391411856252006,0.12863750485648548,0.05753789494353445,0.039647033176063086,0.029045041017561536,0.01493113895655635,0.007708531798577168,0.040464270071614246,2.2087483663544894e-05
axial_seamount,0.033828799195418396,0.026365107085267507,0.041127365373928776,0.0130779737859281,0.006417894543094345,0.008586548445306328,0.006979322710672067,0.0030163003512999153,0.001232940289582447,0.006109659470698733,0.0
axial_seamount,0.24439560553179307,0.04607458137074787,0.13227863683859875,0.1316001191606284,0.07760949821355989,0.035024436329516614,0.02649449980646091,0.06161586723283043,0.007237521898350297,0.003037174368057714,0.0
cayman_rise,0.16375522864266295,0.14276193144986365,0.08861899350357168,0.026760318078829917,0.03820986628907254,0.027708523605905182,0.024542026789180008,0.014157365691381176,0.04120469364686471,0.005875655465511646,2.4141017662453692e-05
cayman_rise,0.15619946987295777,0.16384028045933582,0.09730607280974661,0.020714049464634055,0.050954749958556804,0.030206387530987693,0.02301439049980015,0.010845641324512212,0.03921697159773316,0.005142826884706056,8.235111104413221e-06
cayman_rise,0.2256734094606904,0.13104631524544033,0.055685794968371644,0.02531567450232314,0.048621460743115144,0.0371154792504818,0.02851457515975439,0.02580156899103232,0.15224389104580946,0.001614312983664376,1.4862654948751337e-05
cayman_rise,0.2338717807930938,0.13080286126153692,0.07412834373425349,0.03030820738765436,0.045545351909148456,0.0389495375973194,0.029693027378611722,0.025696899385987647,0.1486939228468348,0.002616633426892101,3.389421537425001e-06
lanzen,0.44015394756426884,0.07123264368793723,0.10206468349316379,0.16053924174445555,0.14990750388058433,0.0744221650470986,0.055285036892130386,0.0882434242701312,0.05315868931935614,0.001063173786387123,0.0
lesniewski,0.039995927687362744,0.05526710007708306,0.09017263696787237,0.016725569760169874,0.0058175894817982165,0.018907165815844205,0.00509039079657344,0.0036359934261238854,0.0,0.0007271986852247771,0.0
lesniewski,0.04933372366609201,0.05963417146450683,0.1442062691778074,0.029274956900757897,0.009216190135423782,0.020600895596829632,0.009216190135423782,0.009758318966919298,0.005421288314955166,0.0005421288314955165,0.0
nakai,0.0,0.0,0.0,0.0,0.003665017408832692,0.0,0.0,0.0,0.029320139270661537,0.0,0.0
perner,0.02053886513434285,0.039210560711018166,0.32488750303415054,0.05974942584536102,0.0,0.0,0.0018671695576675318,0.0018671695576675318,0.0018671695576675318,0.0,0.0
stokke,1.185805919323136,0.0420613286526624,0.06228312127413471,0.20545341303415865,0.8978475923933705,0.08654927241990149,0.04893673814396299,0.020626228473901755,0.004044358524294462,0.0004044358524294462,0.0004044358524294462
tang,0.01347332762320877,0.015398088712238594,1.2097123444552444,0.087576629550857,0.0,0.13954517895466226,0.006736663811604385,0.0009623805445149121,0.0038495221780596484,0.0019247610890298242,0.0
tang,0.002138842992883,0.39996363966912096,0.006416528978649,0.0331520663896865,0.0887619842046445,0.0010694214964415,0.0,0.0,0.00053471074822075,0.0,0.0
xie,1.0006366824095103,0.5977212471373048,0.4779869432592438,0.0988283143120504,0.13493865992606882,0.09407695304704798,0.09597749755304895,0.033259528855016963,0.0009502722530004847,0.17485009455208916,0.0
