taxon,frequency
PF00571,28924
PF13573,28682
PF01642,28501
PF00801,28418
PF01264,28184
PF13419,28132
PF00285,28011
PF01180,27944
PF02463,27911
PF04998,27882
PF00289,27514
PF07724,27442
PF01077,27337
PF00551,27315
PF00815,27290
PF00664,27270
PF01411,27239
PF00441,26803
PF01098,26738
PF00730,26663
PF00310,26611
PF00764,26437
PF13304,26429
PF00389,26004
PF02163,25834
PF00425,25650
PF07733,25491
PF00185,25360
PF00916,25329
PF00154,25127
PF01964,24963
PF01435,24949
PF13360,24934
PF01061,24835
PF00924,24732
PF00814,24548
PF01207,24450
PF13855,24411
PF00892,24205
PF01578,24087
PF00549,24051
PF01134,23971
PF02355,23956
PF00472,23778
PF01391,23751
PF06723,23654
PF02548,23433
PF06418,23263
PF00809,23197
PF00383,23111
PF00793,23084
PF00346,22981
PF01966,22959
PF03971,22809
PF00113,22770
PF02780,22761
PF00580,22754
PF00344,22716
PF01066,22615
PF02441,22610
PF00731,22556
PF01261,22547
PF00701,22471
PF01458,22388
PF01565,22384
PF01467,22375
PF12799,22375
PF01131,22335
PF02934,22323
PF13631,22255
PF04551,22028
PF02719,21828
PF00158,21810
PF13361,21666
PF02574,21466
PF00750,21450
PF03796,21396
PF05221,21347
PF01702,21161
PF00883,21071
PF02445,20915
PF00491,20847
PF01609,20804
PF01494,20790
PF00459,20744
PF13193,20738
PF02774,20695
PF01019,20683
PF00149,20545
PF13393,20387
PF02913,20290
PF13365,20036
PF00950,19989
PF01058,19930
PF01138,19885
PF00162,19781
PF00490,19736
PF00591,19701
PF01557,19654
PF02729,19525
PF04851,19515
PF00733,19449
PF02803,19360
PF00994,19346
PF02801,19272
PF02348,19241
PF13520,19202
PF00355,18848
PF03382,18845
PF02754,18837
PF02882,18654
PF02233,18598
PF00990,18570
PF00160,18527
PF00694,18343
PF00795,18312
PF13489,18288
PF00364,18273
PF01432,18213
PF01293,18208
PF00676,18206
PF01493,18017
PF04997,17893
PF02386,17889
PF02875,17849
PF02811,17739
PF01925,17737
PF00953,17618
PF03721,17593
PF01406,17515
PF01676,17498
PF01751,17496
PF05721,17366
PF00588,17362
PF00510,17362
PF12704,17271
PF01699,17261
PF00512,17234
PF04412,17183
PF00227,17102
PF01523,16995
PF01855,16964
PF01259,16937
PF00254,16754
PF00773,16717
PF05690,16702
PF12025,16650
PF07517,16582
PF03977,16564
PF03372,16530
PF01048,16461
PF01008,16452
PF02515,16446
PF00205,16307
PF01135,16298
PF01808,16295
PF13424,16291
PF02494,16290
PF03129,16208
PF00122,16190
PF00929,16160
PF00702,16103
PF03466,16097
PF01168,16068
PF01580,16064
PF01513,15997
PF13177,15970
PF02687,15884
PF01791,15828
PF00679,15818
PF12838,15813
PF00326,15804
PF00465,15784
PF13519,15673
PF01709,15655
PF13507,15642
PF13753,15615
PF01262,15534
PF02401,15516
PF02310,15472
PF02784,15468
PF02538,15461
PF12804,15430
PF00198,15424
PF02896,15352
PF01960,15277
PF12850,15249
PF00290,15242
PF03446,15237
PF00732,15172
PF12700,15089
PF02696,15088
PF03023,15047
PF02852,14994
PF03989,14972
PF03054,14947
PF03699,14943
PF01026,14931
PF02092,14860
PF00382,14830
PF01551,14794
PF00056,14779
PF01717,14774
PF04542,14759
PF02878,14758
PF00902,14713
PF01208,14710
PF00698,14692
PF08442,14631
PF01433,14594
PF04909,14585
PF01790,14581
PF13183,14576
PF00144,14537
PF07732,14487
PF03916,14471
PF01527,14417
PF00933,14399
PF00499,14397
PF03167,14374
PF00899,14353
PF00488,14314
PF02772,14303
PF01434,14299
PF13714,14108
PF02910,14096
PF00230,13996
PF00121,13991
PF01379,13991
PF02628,13977
PF00834,13965
PF02894,13906
PF02384,13794
PF00306,13735
PF01118,13727
PF00208,13723
PF00034,13717
PF00872,13711
PF01612,13618
PF01326,13555
PF01545,13515
PF02866,13503
PF01625,13487
PF01071,13456
PF00374,13451
PF13614,13430
PF02737,13398
PF07969,13395
PF02547,13353
PF01300,13333
PF13458,13330
PF00141,13329
PF13358,13316
PF08352,13272
PF13683,13251
PF01409,13234
PF03480,13232
PF01139,13222
PF13442,13219
PF01968,13173
PF07726,13122
PF05496,13121
PF13522,13099
PF00860,13064
PF13180,13004
PF13247,12963
PF02417,12947
PF13544,12925
PF00145,12875
PF00176,12868
PF02508,12845
PF01618,12830
PF07715,12789
PF03572,12750
PF00303,12748
PF01255,12704
PF01555,12685
PF13292,12632
PF02879,12588
PF02773,12581
PF00268,12578
PF02880,12567
PF00111,12455
PF02771,12426
