taxon,frequency
PF07726,14388
PF00561,14323
PF07991,14319
PF02545,14307
PF13385,14275
PF00128,14222
PF02542,14219
PF00078,14214
PF02666,14210
PF10431,14193
PF13088,14179
PF07994,14151
PF02684,14145
PF06253,14126
PF00380,14121
PF13541,14120
PF02223,14107
PF01497,14057
PF00958,13964
PF01597,13948
PF00411,13831
PF01553,13827
PF13847,13794
PF01479,13794
PF00136,13736
PF10609,13730
PF01965,13722
PF03190,13721
PF00297,13642
PF00209,13589
PF02568,13515
PF01933,13506
PF11794,13468
PF00488,13455
PF00962,13371
PF00216,13327
PF02635,13307
PF00939,13306
PF08436,13290
PF08502,13257
PF02978,13256
PF00416,13245
PF02637,13232
PF02492,13223
PF01244,13211
PF02277,13187
PF12025,13179
PF02153,13167
PF03331,13147
PF13380,13135
PF01018,13126
PF13238,13100
PF00710,13034
PF12695,13028
PF01769,13024
PF07731,13023
PF02397,13011
PF03947,12963
PF00218,12958
PF04069,12942
PF03169,12936
PF01521,12910
PF01595,12901
PF07479,12891
PF00842,12881
PF01227,12880
PF13203,12865
PF13537,12860
PF00091,12776
PF00662,12764
PF00717,12656
PF14691,12652
PF01554,12617
PF02626,12553
PF01367,12517
PF02464,12472
PF00067,12419
PF00677,12405
PF02511,12396
PF01315,12395
PF01592,12385
PF01195,12364
PF12127,12345
PF00623,12338
PF00889,12328
PF00475,12324
PF00691,12316
PF02569,12301
PF02843,12294
PF08003,12290
PF14748,12279
PF03109,12162
PF02824,12137
PF13795,12112
PF00145,12107
PF03453,12098
PF07583,12098
PF01728,12030
PF03060,12029
PF03241,12015
PF08443,11998
PF01059,11920
PF00507,11910
PF13386,11886
PF01148,11877
PF00342,11861
PF01568,11850
PF01888,11816
PF13481,11813
PF06421,11798
PF01921,11786
PF14306,11779
PF13378,11748
PF12681,11735
PF01872,11730
PF03255,11720
PF01256,11669
PF00463,11668
PF01680,11660
PF02812,11643
PF01075,11597
PF13085,11530
PF02195,11518
PF02618,11494
PF00186,11481
PF14312,11479
PF03486,11453
PF00083,11451
PF00408,11446
PF00176,11443
PF09754,11436
PF00329,11429
PF12974,11417
PF00596,11370
PF07587,11366
PF01743,11365
PF01177,11357
PF03460,11351
PF00016,11340
PF00697,11327
PF02384,11302
PF01070,11295
PF00885,11261
PF01996,11250
PF13646,11226
PF01541,11222
PF00278,11197
PF02897,11148
PF01012,11140
PF01220,11134
PF02836,11130
PF01596,11124
PF05683,11095
PF12848,11039
PF05201,11028
PF13594,11023
PF01738,11020
PF01288,11018
PF03641,11006
PF01969,11003
PF00923,11001
PF02955,11000
PF02615,10983
PF01507,10973
PF00800,10960
PF14833,10924
PF07685,10909
PF02272,10891
PF01556,10856
PF02390,10850
PF01212,10842
PF02575,10825
PF05175,10804
PF02580,10774
PF00912,10756
PF05746,10752
PF13229,10745
PF00288,10711
PF01218,10686
PF01784,10668
PF11700,10666
PF03972,10591
PF02678,10589
PF01025,10571
PF00370,10568
PF13685,10546
PF01321,10536
PF01032,10498
PF09835,10467
PF05173,10451
PF01950,10438
PF03477,10434
PF04321,10426
PF01884,10414
PF13641,10411
PF01257,10399
PF00857,10398
PF03720,10329
PF00316,10314
PF07883,10300
PF03447,10289
PF03717,10278
PF01988,10222
PF13394,10212
PF01127,10208
PF04607,10191
PF07075,10190
PF03120,10182
PF01368,10161
PF00338,10161
PF01894,10153
PF01663,10079
PF02554,10073
PF09084,10035
PF01035,10027
PF04560,9950
PF00828,9948
PF13701,9947
PF08423,9940
PF13417,9929
PF12942,9913
PF01475,9899
PF02636,9861
PF00925,9849
PF02690,9827
PF00493,9826
PF03653,9803
PF01028,9775
PF13450,9758
PF03033,9752
PF13187,9743
PF01878,9737
PF03061,9697
PF04358,9668
PF02787,9633
PF07973,9613
PF13288,9610
PF02746,9608
PF00390,9592
PF01189,9555
PF02129,9513
PF05345,9508
PF00013,9504
PF01509,9502
PF06181,9477
PF07859,9474
PF00334,9454
PF01569,9397
PF10604,9396
PF04209,9370
PF04545,9361
PF03739,9336
PF00487,9324
PF05670,9319
PF03401,9318
PF01252,9312
PF01515,9308
PF01496,9296
PF00850,9278
PF13368,9273
PF02559,9260
PF03576,9228
PF00908,9188
PF10996,9186
PF08541,9185
PF00166,9156
PF00941,9153
PF14602,9144
PF13549,9117
PF01103,9107
PF05853,9102
PF02516,9099
PF10396,9097
PF01193,9063
PF01451,9056
PF13525,9054
PF00771,9046
PF02844,9029
PF04101,9023
PF02481,8981
PF02412,8942
PF02075,8940
PF03951,8929
PF00625,8918
PF13672,8916
PF01547,8915
PF13738,8889
PF02621,8884
PF04290,8869
PF01520,8868
PF01558,8857
PF02881,8855
PF00430,8764
PF00391,8760
PF02472,8751
PF06463,8739
PF01474,8702
PF00453,8697
PF02682,8690
PF13307,8686
PF02433,8663
PF00986,8657
PF08545,8655
PF02570,8640
PF02167,8630
PF02578,8619
PF00238,8607
PF13540,8605
PF03009,8596
PF00543,8592
PF01243,8560
PF00550,8556
PF02782,8545
PF02436,8542
PF02146,8540
PF00282,8537
PF13510,8530
PF03186,8504
PF13573,8504
PF09397,8488
PF02028,8473
PF13544,8444
PF00415,8438
PF01593,8423
PF02566,8423
PF00722,8421
PF04726,8361
PF01280,8353
PF04116,8299
PF01016,8292
PF01476,8288
PF13237,8246
PF01924,8237
PF13460,8164
PF08534,8150
PF01895,8148
PF00313,8142
PF01050,8086
PF02367,8079
PF01472,8053
PF05000,8009
PF04715,8001
PF14450,7993
PF01740,7985
PF12847,7973
PF07244,7962
PF01575,7956
PF02261,7951
PF00516,7938
PF07650,7892
PF07431,7872
PF00486,7854
PF02654,7839
PF00573,7836
PF00343,7826
PF01323,7825
PF13607,7820
PF00352,7802
PF01522,7782
PF01078,7770
PF00015,7766
PF08450,7763
PF11799,7746
PF01810,7740
PF02607,7732
PF04983,7669
PF02080,7660
PF01188,7660
PF02006,7652
PF01875,7651
PF02630,7645
PF04186,7623
PF01029,7622
PF09424,7606
PF00563,7599
PF03960,7570
PF01583,7560
PF03719,7552
PF04339,7549
PF00265,7520
PF04123,7504
PF13715,7494
PF03471,7486
PF00482,7486
PF09603,7478
PF08328,7469
PF00449,7463
PF03772,7454
PF00353,7449
PF04379,7448
PF01510,7447
PF03734,7432
PF02597,7420
PF14697,7415
PF03883,7408
PF11071,7408
PF06739,7406
PF00692,7399
PF03807,7399
PF11987,7391
PF05237,7386
PF00684,7372
PF05378,7355
PF03092,7339
PF14693,7311
PF00848,7286
PF02224,7266
PF13472,7259
PF01343,7258
PF03279,7253
PF12831,7250
PF00719,7250
PF06439,7244
PF06973,7244
PF02245,7239
PF03747,7231
PF06325,7231
PF06968,7229
PF03652,7222
PF02391,7202
PF02919,7184
PF13941,7154
PF03435,7148
PF01245,7146
PF00829,7114
PF03625,7098
PF02190,7089
PF00462,7089
PF02885,7071
PF02423,7067
PF02665,7053
PF13306,7043
PF01202,7026
PF01812,7019
PF01154,7015
PF04085,6996
PF02608,6984
PF14342,6984
PF02447,6983
PF13462,6982
PF04093,6954
PF00861,6948
PF08535,6945
PF02475,6936
PF01722,6935
PF03588,6898
PF07221,6889
PF00189,6859
PF13500,6850
PF02586,6845
PF08501,6830
PF00520,6813
PF01946,6804
PF06071,6800
PF01242,6771
PF00126,6770
PF02151,6749
PF02639,6749
PF00347,6724
PF13191,6716
PF01174,6689
PF03104,6684
PF03379,6678
PF13175,6678
PF08761,6665
PF00163,6659
PF02900,6654
PF02321,6647
PF00239,6638
PF07044,6623
PF03069,6610
PF02911,6605
PF02535,6601
PF13597,6594
PF01918,6578
PF03193,6578
PF04295,6572
PF13616,6568
PF00150,6551
PF00766,6538
PF00484,6537
PF11940,6525
PF13205,6512
PF12327,6494
PF04539,6488
PF07399,6469
PF12169,6469
PF06189,6467
PF00210,6465
PF02274,6445
PF02416,6428
PF02633,6420
PF01210,6405
PF04231,6360
PF03853,6348
PF13347,6340
PF01938,6336
PF07287,6332
PF04413,6327
PF11412,6322
PF14622,6308
PF07662,6273
PF02823,6240
PF02677,6240
PF10531,6221
PF06434,6174
PF08544,6157
PF03449,6141
PF04079,6137
PF00394,6124
PF03309,6122
PF00317,6119
PF01783,6113
PF01121,6102
PF03880,6096
PF00263,6095
PF01619,6089
PF04546,6084
PF04205,6067
PF01959,6065
PF14849,6050
PF14720,6036
PF03062,5987
PF12344,5963
PF01655,5960
PF08540,5958
PF03841,5954
PF01734,5952
PF06080,5941
PF01866,5940
PF00932,5890
PF01820,5882
PF05544,5848
PF01113,5828
PF02817,5827
PF02502,5825
PF03358,5823
PF00028,5813
PF00298,5805
PF05491,5804
PF05138,5799
PF08275,5784
PF08530,5782
PF09843,5775
PF02649,5757
PF01949,5753
PF02410,5741
PF00403,5736
PF00043,5704
PF13535,5702
PF04414,5696
PF01909,5690
PF00827,5689
PF13353,5684
PF01687,5679
PF01106,5674
PF02954,5662
PF09285,5660
PF05990,5659
PF02602,5653
PF00756,5648
PF01329,5631
PF02527,5616
PF04565,5598
PF13098,5595
PF00585,5593
PF04073,5577
PF03706,5562
PF07837,5555
PF00833,5552
PF07755,5524
PF08757,5520
PF02915,5505
PF13746,5505
PF01192,5504
PF01144,5501
PF09967,5495
PF01120,5451
PF02152,5437
PF04361,5429
PF00410,5425
PF04886,5420
PF00333,5417
PF13407,5403
PF13932,5400
PF00670,5373
PF05088,5367
PF13669,5364
PF01196,5364
PF08007,5362
PF02381,5350
PF00728,5342
PF04279,5335
PF12730,5317
PF04362,5311
PF01087,5306
PF06245,5298
PF04879,5295
PF13720,5291
PF01156,5284
PF13534,5278
PF13659,5277
PF00466,5270
PF14579,5236
PF01381,5233
PF06267,5213
PF13528,5207
PF01272,5191
PF04333,5154
PF02517,5145
PF00174,5133
PF01613,5125
PF02353,5121
PF00672,5110
PF05935,5108
PF01161,5106
PF05099,5085
PF03561,5083
PF01176,5082
PF01544,5078
PF02861,5060
PF00627,5055
PF01695,5046
PF00076,5020
PF00450,5015
PF13401,5014
PF01502,5002
PF01863,4999
PF03819,4999
PF00312,4979
PF12631,4968
PF08529,4963
PF00033,4963
PF12769,4951
PF02403,4950
PF06745,4931
PF03900,4929
PF12637,4923
PF03051,4906
PF03649,4894
PF01882,4888
PF13184,4881
PF04828,4873
PF02357,4873
PF05977,4866
PF01548,4864
PF00930,4859
PF01269,4857
PF13742,4848
PF02873,4844
PF00237,4839
PF01420,4838
PF06155,4836
PF01915,4834
PF09490,4833
PF03352,4828
PF01757,4817
PF03458,4815
PF03485,4810
PF05192,4798
PF02590,4794
PF14681,4792
PF00565,4791
PF06574,4791
PF01844,4790
PF08335,4789
PF04305,4778
PF08207,4774
PF12283,4772
PF13375,4772
PF00669,4768
PF04952,4754
PF01423,4751
PF00089,4747
PF13103,4743
PF00137,4730
PF12811,4713
PF01648,4705
PF09423,4702
PF01624,4694
PF00854,4693
PF02133,4691
PF00196,4680
PF01948,4675
PF03171,4662
PF01503,4657
PF13840,4633
PF13485,4627
PF01471,4623
PF02086,4620
PF13167,4615
PF02537,4614
PF02577,4605
PF02887,4604
PF00707,4598
PF01902,4577
PF01132,4577
PF03461,4570
PF13241,4563
PF08487,4557
PF01906,4550
PF01632,4538
PF01297,4533
PF00743,4529
PF01206,4524
PF00772,4520
PF04367,4505
PF05684,4505
PF04471,4499
PF02777,4492
PF08704,4480
PF01197,4479
PF14698,4462
PF13640,4442
PF03006,4415
PF00656,4407
PF03631,4399
PF01871,4391
PF13710,4388
PF02074,4388
PF10589,4386
PF02699,4383
PF13379,4374
PF13899,4368
PF01809,4360
PF06849,4356
PF13475,4353
PF02742,4347
PF01758,4343
PF03050,4340
PF11028,4339
PF04820,4338
PF12840,4330
PF00232,4326
PF12849,4324
PF02616,4321
PF13207,4315
PF13412,4315
PF14947,4314
PF00070,4313
PF05833,4306
PF01807,4291
PF13358,4267
PF03070,4266
PF13602,4264
PF03463,4249
PF01668,4248
PF02585,4241
PF00867,4241
PF05598,4239
PF03439,4237
PF00027,4223
PF13382,4220
PF03320,4218
PF03602,4207
PF12048,4202
PF02643,4200
PF02634,4195
PF01068,4188
PF00181,4186
PF00203,4182
PF12139,4175
PF07497,4164
PF03976,4163
PF02929,4161
PF14815,4161
PF01923,4158
PF03118,4157
PF01649,4155
PF01253,4152
PF00533,4149
PF04760,4141
PF08411,4139
PF05198,4128
PF01386,4125
PF10592,4121
PF12900,4111
PF01281,4100
PF00324,4095
PF01149,4095
PF02899,4092
PF14574,4088
PF00276,4085
PF00745,4080
PF00135,4078
PF13302,4077
PF02620,4076
PF13478,4076
PF04104,4055
PF00081,4054
PF08438,4051
PF06750,4050
PF08299,4050
PF04345,4036
PF04227,4034
PF02514,4026
PF00886,4024
PF05724,4019
PF03948,4018
PF01325,4014
PF04199,3982
PF04191,3979
PF11838,3978
PF03450,3971
PF02767,3963
PF03237,3952
PF06545,3952
PF04442,3947
PF08271,3946
PF11760,3944
PF00327,3941
PF02371,3938
PF03484,3926
PF07549,3921
PF03100,3916
PF03946,3912
PF04744,3911
PF02104,3909
PF00782,3907
PF01862,3898
PF00595,3894
PF09721,3887
PF03364,3883
PF07521,3882
PF01263,3871
PF09997,3871
PF07602,3866
PF02627,3855
PF04608,3851
PF08811,3850
PF02576,3848
PF01198,3845
PF00529,3841
PF12228,3837
PF02837,3827
PF03575,3815
PF02951,3815
PF01832,3813
PF00708,3801
PF09996,3797
PF02749,3786
PF01813,3785
PF01985,3780
PF00700,3777
PF01983,3775
PF10458,3774
PF13686,3767
PF03840,3748
PF06762,3746
PF01248,3738
PF13411,3734
PF04894,3725
PF02082,3724
PF00311,3723
PF09239,3705
PF04107,3696
PF01312,3694
PF00542,3690
PF03825,3687
PF02359,3681
PF13709,3678
PF02421,3678
PF10588,3665
PF12698,3663
PF13410,3660
PF14714,3656
PF13660,3650
PF07586,3648
PF06831,3648
PF03658,3638
PF13727,3633
PF01981,3620
PF09559,3619
PF00037,3615
PF07228,3614
PF00830,3611
PF13433,3602
PF05299,3600
PF03465,3598
PF01090,3597
PF00935,3558
PF04552,3557
PF05698,3544
PF05762,3535
PF00413,3534
PF01084,3521
PF03663,3521
PF01250,3516
PF03979,3511
PF02130,3492
PF09190,3490
PF00140,3484
PF13620,3482
PF01903,3476
PF13754,3474
PF01896,3459
PF12399,3454
PF00366,3446
PF04241,3441
PF02589,3441
PF12161,3427
PF08281,3423
PF00467,3420
PF02971,3412
PF06965,3410
PF13426,3409
PF04356,3408
PF07786,3398
PF13950,3396
PF04060,3388
PF13242,3383
PF06089,3375
PF14464,3371
PF02446,3369
PF11791,3352
PF05425,3351
PF07722,3346
PF13492,3331
PF14489,3328
PF03795,3325
PF13604,3314
PF13279,3302
PF01092,3294
PF10415,3293
PF02747,3281
PF02617,3281
PF04143,3274
PF08713,3273
PF09818,3266
PF12911,3264
PF03726,3257
PF01157,3250
PF14667,3242
PF09940,3232
PF06865,3221
PF14840,3218
PF03301,3212
PF01817,3197
PF12846,3195
PF02225,3188
PF03330,3187
PF14805,3185
PF09955,3179
PF13439,3179
PF01258,3179
PF04052,3175
PF04472,3171
PF00468,3167
PF14255,3158
PF08029,3139
PF01455,3128
PF09347,3127
PF01944,3122
PF06283,3109
PF05787,3108
PF13484,3096
PF13377,3095
PF13356,3090
PF01142,3088
PF04386,3083
PF00213,3076
PF02113,3074
PF13501,3072
PF12447,3072
PF07963,3071
PF01914,3069
PF01841,3068
PF06733,3068
PF03737,3065
PF08298,3063
PF00673,3058
PF02558,3058
PF13586,3056
PF01920,3050
PF01713,3047
PF08770,3044
PF04961,3039
PF03881,3039
PF03692,3032
PF00685,3029
PF01564,3026
PF13743,3022
PF01989,3016
PF04972,3007
PF10502,3004
PF04919,2998
PF08666,2996
PF07603,2986
PF12833,2982
PF12801,2982
PF13844,2982
PF02790,2978
PF03831,2977
PF05494,2975
PF00705,2974
PF00752,2970
PF04371,2969
PF00781,2967
PF13465,2965
PF06144,2963
PF04324,2955
PF06228,2954
PF09341,2951
PF07136,2941
PF00440,2930
PF05402,2905
PF01935,2903
PF04203,2901
PF00813,2889
PF00392,2887
PF01849,2886
PF03091,2883
PF01973,2878
PF01780,2877
PF05195,2876
PF03749,2872
PF02622,2869
PF05992,2864
PF10369,2864
PF06455,2863
PF13768,2852
PF03833,2848
PF09180,2846
PF05165,2845
PF02541,2842
PF13469,2839
PF11306,2834
PF03448,2827
PF08888,2824
PF02595,2814
PF02592,2811
PF01839,2811
PF09377,2802
PF14870,2791
PF12627,2790
PF01956,2786
PF01774,2784
PF02979,2780
PF05572,2778
PF01943,2770
PF13722,2769
PF13579,2769
PF13091,2768
PF04313,2764
PF01912,2762
PF00699,2754
PF03695,2740
PF00035,2733
PF05697,2729
PF11775,2729
PF04748,2724
PF02768,2722
PF06429,2716
PF01430,2715
PF07885,2712
PF05547,2707
PF10417,2673
PF00471,2672
PF01396,2670
PF12770,2655
PF08546,2652
PF12897,2651
PF03147,2650
PF03861,2650
PF02700,2649
PF03454,2638
PF13551,2630
PF02005,2626
PF04007,2624
PF02132,2619
PF12762,2612
PF05656,2609
PF12367,2607
PF01314,2602
PF02457,2597
PF04014,2583
PF02625,2582
PF00547,2575
PF14827,2573
PF01201,2573
PF14588,2570
PF13459,2569
PF11611,2569
PF03547,2567
PF05050,2561
PF07627,2558
PF01200,2556
PF03968,2546
PF14696,2540
PF01330,2538
PF06684,2537
PF08755,2535
PF00825,2534
PF08439,2533
PF06094,2511
PF03464,2511
PF05187,2508
PF09079,2507
PF02119,2506
PF08489,2506
PF06093,2502
PF02148,2498
PF02788,2493
PF04082,2490
PF04963,2489
PF01182,2488
PF01478,2479
PF06827,2475
PF01782,2472
PF13667,2468
PF02325,2460
PF04238,2459
PF09360,2455
PF13538,2448
PF05239,2443
PF02021,2440
PF01798,2431
PF00253,2430
PF04018,2429
PF05139,2427
PF13277,2424
PF05661,2415
PF00639,2413
PF07687,2406
PF02482,2401
PF10120,2401
PF08032,2395
PF01590,2387
PF03918,2381
PF08659,2378
PF11617,2376
PF01928,2373
PF05916,2361
PF02033,2357
PF06052,2357
PF04896,2353
PF03239,2347
PF08406,2344
PF08484,2339
PF12867,2338
PF01172,2338
PF02810,2330
PF10418,2330
PF00281,2326
PF10282,2325
PF11842,2313
PF02405,2308
PF04461,2297
PF01730,2295
PF13499,2283
PF02686,2278
PF04982,2263
PF04466,2263
PF01963,2255
PF11495,2255
PF07503,2245
PF06452,2241
PF06778,2229
PF04453,2226
PF01974,2225
PF00582,2220
PF08676,2214
PF03710,2201
PF08340,2197
PF02567,2197
PF00893,2195
PF04675,2181
PF11798,2175
PF02926,2171
PF07799,2170
PF00444,2168
PF02632,2167
PF01936,2155
PF02230,2152
PF10414,2150
PF03571,2143
PF01119,2140
PF04455,2139
PF00775,2137
PF01052,2136
PF08548,2133
PF08542,2129
PF00393,2128
PF13671,2126
PF01797,2125
PF04430,2123
PF08494,2122
PF02732,2120
PF10142,2119
PF01015,2115
PF02073,2112
PF02996,2110
PF01654,2109
PF13231,2107
PF01814,2107
PF04773,2106
PF05161,2106
PF02638,2103
PF03350,2101
PF00931,2097
PF04962,2094
PF13610,2093
PF01957,2092
PF00071,2078
PF03626,2078
PF00255,2078
PF04002,2078
PF01427,2071
PF03629,2070
PF05726,2062
PF01994,2056
PF04307,2052
PF13483,2049
PF02016,2049
PF13491,2046
PF02609,2046
PF01984,2045
PF07045,2044
PF10397,2044
PF01877,2042
PF04034,2038
PF03618,2037
PF03441,2034
PF04234,2026
PF13516,2016
PF01287,2015
PF00153,2014
PF00821,2012
PF10385,2009
PF03055,2007
PF08309,2004
PF00831,2003
PF13487,1994
PF01997,1994
PF08402,1993
PF11614,1984
PF14240,1980
PF04355,1978
PF13948,1968
PF06677,1965
PF03150,1962
PF03874,1958
PF11127,1957
PF07730,1953
PF01010,1952
PF03313,1949
PF06271,1948
PF12156,1947
PF13502,1946
PF03741,1942
PF13673,1941
PF01526,1941
PF11969,1932
PF13508,1932
PF04126,1931
PF13335,1930
PF13249,1930
PF01136,1925
PF04011,1920
PF01661,1918
PF09656,1914
PF00712,1913
PF04267,1904
PF01165,1900
PF01096,1899
PF02631,1895
PF02933,1888
PF03232,1883
PF03773,1880
PF03473,1878
PF00576,1877
PF00301,1876
PF13476,1869
PF04679,1863
PF01219,1861
PF07679,1856
PF02748,1855
PF08645,1853
PF12007,1851
PF01194,1846
PF00401,1846
PF10432,1844
PF04019,1843
PF14370,1842
PF06480,1839
PF13023,1838
PF00498,1837
PF03591,1835
PF04077,1833
PF08239,1825
PF13486,1823
PF01311,1823
PF13806,1814
PF13087,1808
PF08915,1805
PF04895,1802
PF07661,1798
PF01487,1796
PF00092,1794
PF07364,1785
PF00059,1775
PF06187,1771
PF00245,1769
PF04464,1760
PF13340,1759
PF13654,1756
PF01081,1756
PF13086,1752
PF02652,1751
PF01610,1750
PF06966,1743
PF01074,1742
PF12680,1735
PF07971,1731
PF11174,1730
PF02798,1726
PF14551,1710
PF13622,1703
PF07750,1697
PF06441,1694
PF07366,1693
PF00101,1690
PF01712,1686
PF08206,1686
PF04138,1684
PF02588,1684
PF00351,1671
PF03685,1670
PF01055,1667
PF11874,1666
PF13677,1666
PF09376,1664
PF02730,1658
PF05635,1646
PF01958,1643
PF01339,1639
PF00001,1635
PF13474,1625
PF13090,1624
PF06835,1623
PF04359,1622
PF03031,1618
PF07499,1615
PF13532,1615
PF01179,1612
PF01873,1611
PF00668,1611
PF01890,1605
PF00494,1603
PF10017,1601
PF07645,1595
PF13185,1592
PF02368,1588
PF03992,1587
PF05567,1586
PF09903,1586
PF01972,1585
PF08068,1584
PF07635,1579
PF07934,1570
PF03404,1561
PF00704,1554
PF01907,1552
PF07631,1551
PF11761,1549
PF07908,1549
PF01566,1546
PF04223,1545
PF07021,1540
PF01850,1534
PF02055,1531
PF13435,1529
PF13692,1527
PF06689,1526
PF02600,1526
PF04566,1524
PF13638,1522
PF05751,1518
PF04406,1517
PF10590,1513
PF12826,1513
PF03235,1512
PF13409,1505
PF08274,1498
PF00057,1493
PF02698,1483
PF01599,1482
PF02411,1481
PF07596,1478
PF14311,1476
PF06249,1476
PF01991,1476
PF09587,1473
PF01980,1473
PF00172,1469
PF01584,1467
PF07729,1457
PF08753,1450
PF05343,1447
PF03357,1447
PF02322,1447
PF04012,1446
PF03852,1442
PF12626,1437
PF03548,1436
PF14578,1436
PF13278,1435
PF10108,1435
PF01930,1432
PF01036,1429
PF08323,1429
PF01283,1427
PF04951,1426
PF03160,1421
PF01706,1418
PF11953,1416
PF09722,1412
PF08608,1409
PF02010,1407
PF03349,1406
PF00982,1406
PF00090,1405
PF07350,1402
PF13432,1400
PF13240,1395
PF10672,1393
PF08818,1392
PF03544,1392
PF08819,1373
PF11867,1366
PF13585,1363
PF09630,1360
PF00225,1359
PF07593,1359
PF05876,1357
PF09851,1353
PF00832,1346
PF01011,1339
PF02002,1337
PF03205,1334
PF02127,1333
PF04041,1329
PF04246,1320
PF13565,1318
PF03174,1316
PF13148,1310
PF04734,1308
PF08665,1307
PF03806,1305
PF01246,1305
PF05970,1300
PF14340,1299
PF04991,1293
PF13248,1293
PF00877,1284
PF04068,1277
PF13751,1275
PF05188,1275
PF14226,1268
PF13599,1268
PF02565,1268
PF10509,1262
PF07460,1259
PF03876,1254
PF04616,1251
PF05194,1245
PF01191,1243
PF06426,1240
PF09905,1237
PF00754,1237
PF13584,1237
PF01940,1236
PF00481,1231
PF00428,1227
PF12112,1227
PF03551,1225
PF04517,1225
PF03745,1224
PF03786,1224
PF09856,1210
PF03969,1208
PF14349,1205
PF08897,1205
PF00570,1202
PF07510,1200
PF04986,1199
PF02657,1194
PF13452,1193
PF05013,1192
PF00443,1189
PF05559,1188
PF04257,1188
PF02534,1186
PF08471,1185
PF04432,1178
PF08334,1178
PF04263,1175
PF13740,1170
PF13463,1169
PF07681,1161
PF02694,1159
PF03958,1157
PF00356,1155
PF08843,1154
PF12038,1153
PF02781,1151
PF07748,1150
PF01361,1145
PF07980,1140
PF09317,1139
PF08345,1139
PF07943,1138
PF04214,1138
PF04115,1138
PF01163,1136
PF00080,1134
PF08069,1133
PF03088,1132
PF00808,1131
PF06240,1125
PF13404,1123
PF02734,1119
PF03437,1119
PF03601,1117
PF03668,1116
PF01344,1115
PF01223,1115
PF01992,1115
PF09349,1114
PF02674,1111
PF04264,1109
PF04212,1106
PF04075,1102
PF02667,1101
PF14269,1100
PF12836,1098
PF00460,1092
PF11583,1090
PF08331,1087
PF13482,1085
PF05866,1085
PF01987,1078
PF07494,1077
PF02036,1074
PF04198,1073
PF04451,1073
PF02744,1072
PF13531,1072
PF03966,1071
PF02056,1069
PF13369,1066
PF08943,1066
PF04519,1061
PF11967,1059
PF02912,1058
PF02037,1056
PF01170,1053
PF13354,1052
PF00515,1050
PF10584,1043
PF00871,1042
PF14072,1042
PF13041,1039
PF11638,1033
PF01627,1031
PF02333,1030
PF00102,1030
PF02733,1029
PF09249,1024
PF03417,1020
PF00112,1020
PF08668,1019
PF01614,1013
PF08388,1012
PF07498,1011
PF04293,1010
PF07578,1010
PF13578,1010
PF01020,1007
PF09365,1005
PF08447,1004
PF07683,1003
PF05226,1002
PF05118,1002
PF12973,1000
PF02706,997
PF01796,996
PF11104,996
PF04567,995
PF04976,990
PF01667,987
PF05048,986
PF00096,985
PF00584,984
PF01514,984
PF06853,983
PF12728,980
PF05717,975
PF02598,974
PF01364,973
PF13425,972
PF10503,970
PF03444,966
PF02154,965
PF02126,961
PF01978,960
PF06242,960
PF10442,959
PF01870,958
PF04384,957
PF00359,957
PF05930,956
PF13721,955
PF01313,951
PF14715,951
PF05899,950
PF06445,950
PF12679,948
PF04303,948
PF04404,947
PF07691,946
PF05649,943
PF04613,942
PF11890,941
PF09822,939
PF02778,936
PF01869,934
PF05275,933
PF02265,930
PF00199,928
PF00309,927
PF02661,925
PF03029,925
PF13230,924
PF07664,921
PF01431,915
PF05711,908
PF03136,907
PF01204,905
PF06676,904
PF01047,904
PF01773,903
PF12797,902
PF10070,902
PF02571,902
PF11950,900
PF11734,899
PF06127,899
PF13581,899
PF14824,899
PF00703,895
PF07171,894
PF05036,893
PF01887,892
PF02107,889
PF14842,888
PF09173,886
PF13443,886
PF12708,886
PF00022,884
PF09055,882
PF04039,879
PF00989,879
PF13545,878
PF06146,877
PF01226,875
PF13937,874
PF06114,871
PF01501,869
PF10118,867
PF13083,866
PF02525,861
PF13477,860
PF09861,858
PF01885,852
PF08279,850
PF10559,847
PF09848,845
PF10861,843
PF06258,842
PF04135,841
PF10399,840
PF02645,840
PF00736,839
PF00560,838
PF02563,832
PF01231,832
PF06844,831
PF05896,827
PF05145,826
PF03687,823
PF13245,823
PF01428,816
PF00381,815
PF06537,811
PF11141,809
PF02283,808
PF05523,805
PF00258,803
PF01794,803
PF04010,803
PF04945,802
PF00251,799
PF03755,798
PF00179,797
PF11376,796
PF04024,793
PF12899,793
PF06450,792
PF07068,790
PF03928,789
PF09382,788
PF04174,787
PF09601,783
PF02211,780
PF14905,777
PF12806,777
PF04752,777
PF06041,776
PF01401,776
PF00856,775
PF06032,773
PF06980,773
PF13624,772
PF03321,770
PF08463,769
PF06315,763
PF00201,763
PF02599,762
PF04032,762
PF04028,760
PF13853,760
PF00124,759
PF01982,759
PF02614,759
PF10459,757
PF05875,757
PF04480,754
PF11975,751
PF09489,750
PF08448,750
PF00190,750
PF13418,748
PF03400,748
PF00217,746
PF05448,746
PF06969,746
PF13635,746
PF06792,744
PF08060,741
PF09969,737
PF13807,737
PF01402,737
PF07944,735
PF07167,734
PF00689,734
PF06415,734
PF00008,733
PF09992,730
PF04443,730
PF04242,726
PF13420,725
PF04298,724
PF04758,724
PF06798,724
PF02868,723
PF09826,723
PF14743,721
PF13280,720
PF04989,715
PF02460,711
PF03775,710
