pfam	count
PF00338	112229
PF02006	68178
PF06253	142011
PF01895	93826
PF02545	185126
PF00662	89896
PF01195	160713
PF07859	72513
PF02390	195984
PF00216	213890
PF01583	115664
PF04290	123789
PF06421	104182
PF00842	114032
PF10592	103953
PF00186	160598
PF01595	168783
PF01663	82082
PF13549	102266
PF03734	102384
PF01875	88607
PF01738	121533
PF01128	171565
PF00174	82117
PF09835	122446
PF02618	154569
PF00697	157346
PF13462	105615
PF02245	79481
PF02787	131411
PF03720	117240
PF01894	117106
PF01959	74434
PF03104	100013
PF02843	118099
PF02782	109003
PF01243	119970
PF02464	107668
PF05683	145326
PF13191	89240
PF01012	130255
PF01242	132978
PF00850	154011
PF01189	158663
PF05000	105144
PF13738	96740
PF00563	374338
PF06415	143668
PF00015	252628
PF01541	142413
PF07431	92905
PF01144	85574
PF07973	98105
PF02955	158634
PF03951	122975
PF13525	166363
PF00210	89247
PF00390	145530
PF02554	87011
PF03453	115233
PF00908	121217
PF07883	94343
PF12127	49625
PF05192	78284
PF01556	127962
PF00449	60212
PF01451	140150
PF02436	145003
PF00889	165463
PF01509	132392
PF02321	301213
PF01475	139976
PF01103	225209
PF13594	97821
PF05853	105464
PF04358	195289
PF02654	87168
PF00848	118598
PF00239	78109
PF01946	68723
PF02424	139348
PF01983	92115
PF02660	139958
PF01522	126849
PF00033	96831
PF06745	80168
PF05746	149216
PF04321	116863
PF01799	97812
PF04123	86245
PF02167	163830
PF13607	80124
PF01866	99379
PF00274	110791
PF04607	131250
PF03050	132353
PF02272	110076
PF02919	62668
PF00391	76437
PF00485	179841
PF13307	135659
PF00238	109321
PF04983	134307
PF07676	113586
PF00166	89406
PF03653	121326
PF14450	107851
PF02636	131459
PF03279	241022
PF01220	131332
PF02580	124985
PF06965	84202
PF00246	134175
PF07244	185290
PF01695	93076
PF01315	90329
PF00334	140339
PF08761	130263
PF00016	147070
PF00013	83104
PF13551	54674
PF01654	70288
PF13510	105325
PF00317	113002
PF02615	92077
PF01343	83996
PF05960	140643
PF04545	110592
PF01804	148922
PF01297	97591
PF01154	62189
PF01935	61106
PF06181	138661
PF06463	104133
PF02075	122518
PF01280	56897
PF01949	65645
PF06973	105619
PF02682	162177
PF01136	61820
PF01472	74608
PF04295	101973
PF00352	85386
PF09490	81437
PF02261	106630
PF01025	127828
PF02535	69719
PF13288	115503
PF01769	134165
PF02005	68069
PF04715	144421
PF01288	143638
PF02559	114408
PF03629	31500
PF03625	123072
PF03401	101901
PF01245	109976
PF13401	107849
PF13207	124527
PF07627	26664
PF03588	136883
PF01909	100773
PF02881	120343
PF02472	144823
PF09423	68137
PF00719	111252
PF14693	89647
PF13472	93907
PF02475	78434
PF02433	135098
PF04085	128534
PF01730	55963
PF14947	73246
PF01112	103902
PF05990	55604
PF06245	93882
PF03033	108538
PF04073	117592
PF00625	141057
PF09967	99780
PF00538	22327
PF04101	105553
PF02844	111124
PF00313	144305
PF01510	116133
PF00827	50187
PF02678	124574
PF03120	84049
PF02575	84860
PF03652	117338
PF08757	47958
PF01035	101679
PF00573	120996
PF11700	114603
PF07650	126837
PF03061	126492
PF04414	79531
PF04104	68314
PF13417	155090
PF00550	92499
PF00288	88317
PF02677	113116
PF14602	76414
PF13426	171047
PF01016	85560
PF04539	100635
PF04879	78542
PF01050	92094
PF02195	97091
PF13500	117831
PF13385	55857
PF02566	102822
PF11987	88269
PF02074	42499
PF01569	90178
PF02633	63774
PF02630	135387
PF08541	109583
PF04413	126592
PF04313	75878
PF13795	122835
PF07044	152152
PF01564	57086
PF03358	97692
PF01087	76231
PF00282	103797
PF04820	180602
PF13229	58330
PF01420	88807
PF11412	188256
PF06968	88766
PF03193	115731
PF01323	159174
PF09721	89526
PF00986	105361
PF03807	98672
PF13672	105727
PF01593	77899
PF13476	93133
PF02405	61539
PF02239	58004
PF01740	139681
PF10396	102326
PF02926	79027
PF01655	53005
PF02190	138840
PF08530	42233
PF00962	151092
PF05378	48915
PF01000	93626
PF05138	58891
PF08545	94747
PF01918	52834
PF01502	85932
PF02367	99065
PF02133	96798
PF02597	93683
PF01312	72256
PF03553	168855
PF00163	90144
PF08298	67435
PF07075	85295
PF08540	73413
PF06071	98717
PF04339	135040
PF04471	71513
PF13379	88887
