uproc,tara
614,179
613,2745
613,197
613,109
612,191
612,90
611,132
610,136
609,61
607,198
607,34
605,136
605,1149
603,153
602,114
600,267
599,75
599,56
598,77
598,73
597,114
596,20
596,94
596,231
596,74
595,70
593,454
593,102
593,141
592,34
591,136
589,132
589,136
589,537
589,136
589,206
589,144
589,82
588,37
588,112
587,140
586,247
585,115
585,39
584,75
583,143
583,127
583,29
583,69
582,87
581,224
581,112
579,91
578,113
577,51
577,787
576,106
576,278
574,31
574,28
573,5
572,43
572,110
571,217
571,24
571,107
571,126
570,48
569,141
568,49
565,80
565,163
564,90
563,25
563,28
562,68
562,144
561,108
559,300
558,107
557,56
556,81
556,102
555,191
555,185
554,58
553,137
552,55
552,34
551,84
550,93
549,52
547,77
546,228
545,64
544,31
544,1001
543,95
537,105
537,321
537,127
535,40
535,75
534,71
532,117
531,129
531,334
530,150
530,1
530,141
529,86
529,43
528,258
528,94
526,64
526,54
526,71
526,38
526,22
525,114
525,140
525,23
525,17
524,79
524,131
523,67
522,28
522,102
521,66
521,144
521,52
521,113
520,169
520,111
519,106
519,133
519,56
518,48
518,212
518,17
518,4506
518,68
517,74
517,142
517,272
516,174
515,41
515,100
515,203
514,81
514,32
514,255
513,32
512,149
511,144
511,120
510,144
509,32
509,1248
508,102
508,73
508,1066
506,281
505,111
503,22
501,48
501,36
500,166
500,115
499,52
499,126
498,126
498,61
497,78
497,112
495,49
495,130
495,79
494,255
494,65
492,56
492,62
490,6177
489,101
489,126
488,44
487,47
487,128
487,146
485,302
484,107
483,146
483,35
481,122
480,26
480,154
478,27
477,42
476,54
476,47
475,172
475,51
475,118
474,202
474,112
473,178
471,221
470,129
470,18
469,215
468,128
468,81
467,41
467,68
466,59
465,63
465,57
465,45
464,71
463,67
463,258
463,91
463,181
462,108
462,186
461,1
461,47
460,69
460,65
460,28
459,144
459,645
458,51
458,142
458,80
458,172
458,79
458,184
456,182
455,34
454,3
453,109
452,913
450,57
450,149
448,28
447,403
447,107
447,83
447,96
446,25
446,19
444,1070
443,159
443,141
442,222
442,220
442,329
441,182
441,65
439,198
439,46
438,12
437,356
437,61
436,35
436,60
436,134
435,50
434,186
434,12
433,30
433,42
432,104
431,129
431,6
430,176
429,113
427,140
427,22
427,86
426,72
425,145
425,86
424,3274
423,149
423,22
422,47
422,206
421,127
421,64
420,141
418,90
418,83
417,133
417,126
417,352
416,360
414,12
413,90
413,162
413,55
412,114
411,72
411,194
411,125
411,34
410,21
410,287
409,36
409,133
408,47
408,2
408,111
407,34
407,105
406,470
406,356
405,55
405,115
405,44
405,27
405,16
405,58
404,53
403,149
403,34
403,47
403,100
403,234
402,53
401,118
400,33
399,78
399,6
398,49
398,34
398,25
397,271
396,21
395,34
395,4
393,40
393,77
393,78
393,104
392,48
392,32
392,186
392,216
390,45
390,77
389,103
389,132
389,91
388,46
387,91
385,18
385,78
383,72
383,170
383,16
382,101
382,56
382,14
381,42
380,146
380,8
379,98
379,7498
379,195
379,142
379,12
378,21
377,26
377,184
377,40
376,34
376,95
376,38
374,83
374,74
374,64
373,293
372,62
372,38
371,176
370,145
369,144
369,121
369,13
368,83
368,38
367,52
367,210
366,155
366,57
366,161
366,35
365,356
364,151
364,519
364,25
364,389
363,74
363,56
363,66
363,65
362,359
362,31
362,53
361,122
361,123
359,29
358,41
358,336
358,76
357,114
357,44
357,81
356,79
356,12
355,4154
355,173
353,63
353,12
352,51
352,17
351,148
350,110
350,54
349,270
349,72
349,406
348,134
348,119
348,84
347,285
347,50
347,136
347,34
347,31
346,49
345,46
345,74
345,56
345,126
344,44
343,46
343,123
343,81
343,60
341,154
341,132
341,17
341,53
341,2
340,100
340,83
340,757
338,180
338,66
338,22
337,40
337,69
336,108
336,46
335,103
335,44
335,19
335,64
335,32
334,19
334,5
334,19
334,89
334,57
333,118
333,114
332,43
331,127
329,40
328,38
328,161
326,80
325,17
325,19
325,11
325,69
325,33
324,104
324,54
323,96
323,83
323,29
322,134
322,99
322,36
322,103
322,92
322,340
321,51
321,146
321,31
321,75
321,102
320,292
320,72
320,117
320,179
319,40
318,79
317,40
317,133
316,887
316,16
316,39
315,70
315,46
314,52
313,127
313,60
313,90
313,19
312,11
312,92
312,6
311,28
310,169
309,57
309,122
309,87
308,35
307,33
307,2
307,70
306,319
306,46
306,90
306,28
305,129
305,77
305,5
305,178
304,66
304,65
304,28
304,1451
304,2
303,28
302,105
300,80
300,42
300,90
299,498
298,31
298,46
298,58
298,81
297,84
297,157
297,12
296,209
295,40
294,47
294,6
293,16
292,64
291,30
291,23
291,94
290,72
289,56
289,128
288,43
288,27
288,17
288,27
287,49
287,78
287,220
286,77
285,31
284,2
284,106
284,126
284,48
284,4
283,49
283,7
283,41
283,141
283,29
282,16
281,73
281,91
280,56
280,36
279,125
279,15
279,51
279,114
277,47
277,36
276,1
276,47
276,106
275,90
275,37
273,101
272,138
272,38
271,6
271,58
271,4
