#frequency	superkingdom	phylum	class	order	family	genus	species
0.000000	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Unknown Thermococcus
0.000000	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Unknown Pyrococcus
0.000000	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Unknown Methanobrevibacter
0.000000	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Unknown Methanobacterium
0.000000	Archaea	Unknown Unknown Archaea	Unknown Unknown Unknown Archaea	Unknown Unknown Unknown Unknown Archaea	Unknown Unknown Unknown Unknown Unknown Archaea	Unknown Unknown Unknown Unknown Unknown Unknown Archaea	Unknown Unknown Unknown Unknown Unknown Unknown Unknown Archaea
0.000008	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Unknown Mycoplasma
0.000001	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Gordoniaceae	Gordonia	Unknown Gordonia
0.000001	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Unknown Streptomyces
0.000002	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinoplanes	Unknown Actinoplanes
0.000168	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Frankiaceae	Frankia	Unknown Frankia
0.000053	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Unknown Nocardioides
0.000004	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	Unknown Mycobacterium
0.000000	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	Unknown Thermoanaerobacter
0.000033	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	Unknown Arthrobacter
0.000000	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Unknown Listeria
0.000004	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Unknown Clostridium
0.000000	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unknown Bacillus
0.000000	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unknown Enterococcus
0.000000	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Unknown Streptococcus
0.000000	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Unknown Ruminococcus
0.000002	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Unknown Leuconostoc
0.000058	Bacteria	Proteobacteria	Gammaproteobacteria	Unknown Gammaproteobacteria	Unknown Unknown Gammaproteobacteria	Unknown Unknown Unknown Gammaproteobacteria	Unknown Unknown Unknown Unknown Gammaproteobacteria
0.000005	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Unknown Nitrospira
0.000000	Bacteria	Cyanobacteria	Unknown Cyanobacteria	Nostocales	Rivulariaceae	Calothrix	Unknown Calothrix
0.000000	Bacteria	Cyanobacteria	Unknown Cyanobacteria	Nostocales	Nostocaceae	Nostoc	Unknown Nostoc
0.000000	Bacteria	Cyanobacteria	Unknown Cyanobacteria	Nostocales	Nostocaceae	Anabaena	Unknown Anabaena
0.000000	Bacteria	Cyanobacteria	Unknown Cyanobacteria	Oscillatoriales	Unknown Oscillatoriales	Pseudanabaena	Unknown Pseudanabaena
0.000000	Bacteria	Cyanobacteria	Unknown Cyanobacteria	Chroococcales	Unknown Chroococcales	Synechocystis	Unknown Synechocystis
0.000000	Bacteria	Cyanobacteria	Unknown Cyanobacteria	Chroococcales	Unknown Chroococcales	Synechococcus	Unknown Synechococcus
0.000000	Bacteria	Cyanobacteria	Unknown Cyanobacteria	Chroococcales	Unknown Chroococcales	Unknown Unknown Chroococcales	Unknown Unknown Unknown Chroococcales
